prey predator tau1
2.7108512e-14 0.95390797 0.0099999998
0.73276097 0.2211294 0.0099999998
2.7108812e-14 0.95390898 0.0099999998
0.73276091 0.22112891 0.0099999998
2.7109144e-14 0.95390713 0.0099999998
0.73276049 0.22112952 0.0099999998
2.710945e-14 0.95390737 0.0099999998
0.73276037 0.22112943 0.0099999998
2.710975e-14 0.95390838 0.0099999998
0.73276031 0.22112896 0.0099999998
2.7110082e-14 0.9539066 0.0099999998
0.73275995 0.22112952 0.0099999998
2.7110389e-14 0.95390677 0.0099999998
0.73275983 0.22112945 0.0099999998
0.67150545 0.22187142 0.027249999
1.0530725e-12 0.89337832 0.027249999
0.67150515 0.22187142 0.027249999
1.0530915e-12 0.89337802 0.027249999
0.67150486 0.22187144 0.027249999
1.0531106e-12 0.89337772 0.027249999
0.67150456 0.22187145 0.027249999
1.0531296e-12 0.89337736 0.027249999
0.6715042 0.22187145 0.027249999
1.0531487e-12 0.89337707 0.027249999
0.6715039 0.22187147 0.027249999
1.0531678e-12 0.89337671 0.027249999
0.6715036 0.22187148 0.027249999
1.0531867e-12 0.89337635 0.027249999
2.5005834e-11 0.83778757 0.044500001
0.61512327 0.22267257 0.044500001
2.5006348e-11 0.8377834 0.044500001
0.6151228 0.22266948 0.044500001
2.5006852e-11 0.83778012 0.044500001
0.6151225 0.22267176 0.044500001
2.5007382e-11 0.83778423 0.044500001
0.6151222 0.22267345 0.044500001
2.500789e-11 0.83778048 0.044500001
0.61512166 0.22267088 0.044500001
2.5008415e-11 0.83778512 0.044500001
0.61512136 0.22267285 0.044500001
2.5008927e-11 0.83778101 0.044500001
0.61512095 0.22266996 0.044500001
2.5009448e-11 0.83778614 0.044500001
3.9791515e-10 0.78628981 0.061749998
0.56276798 0.22354247 0.061749998
3.9792328e-10 0.7862826 0.061749998
0.56276751 0.22353916 0.061749998
3.9793174e-10 0.78628641 0.061749998
0.56276721 0.22354409 0.061749998
3.9794013e-10 0.78629088 0.061749998
0.56276673 0.22354114 0.061749998
3.9794831e-10 0.78628308 0.061749998
0.56276643 0.22354563 0.061749998
3.9795672e-10 0.78628707 0.061749998
0.56276596 0.22354302 0.061749998
3.9796505e-10 0.78629172 0.061749998
0.56276548 0.22353992 0.061749998
3.9797329e-10 0.78628343 0.061749998
0.5142867 0.2244608 0.079000004
4.4402073e-09 0.73872221 0.079000004
0.51428628 0.22446561 0.079000004
4.4402944e-09 0.73871553 0.079000004
0.51428598 0.22446984 0.079000004
4.4403832e-09 0.73872352 0.079000004
0.51428545 0.22446422 0.079000004
4.4404707e-09 0.73871648 0.079000004
0.51428509 0.22446869 0.079000004
4.440559e-09 0.73872477 0.079000004
0.51428461 0.2244629 0.079000004
4.4406465e-09 0.73871744 0.079000004
0.51428425 0.22446761 0.079000004
4.4407331e-09 0.73871088 0.079000004
0.51428378 0.22446166 0.079000004
3.5854107e-08 0.69510698 0.096249998
0.46974373 0.22540247 0.096249998
3.5854747e-08 0.69510508 0.096249998
0.46974334 0.2254037 0.096249998
3.585539e-08 0.69510323 0.096249998
0.46974298 0.22540492 0.096249998
3.5856029e-08 0.69510126 0.096249998
0.4697426 0.22540615 0.096249998
3.5856669e-08 0.69509935 0.096249998
